entry_date,entry_price,exit_date,exit_price,profit
2021-02-14 08:45:00,48710.17,2021-02-14 15:15:00,48271.0,-0.33
2021-02-14 15:30:00,48528.86,2021-02-15 01:15:00,48233.04,-0.33
2021-02-15 01:30:00,47979.99,2021-02-15 02:00:00,47550.0,-0.33
2021-02-15 02:15:00,46359.53,2021-02-15 13:00:00,48205.01,3.980799632783169
2021-02-15 14:45:00,47564.16,2021-02-16 03:15:00,49317.87,3.6870408307431455
2021-02-16 06:15:00,48749.12,2021-02-16 16:45:00,48167.68,-0.33
2021-02-16 17:00:00,48460.01,2021-02-16 17:45:00,48230.5,-0.33
2021-02-16 18:00:00,47835.93,2021-02-17 02:00:00,49725.22,3.949520789080511
2021-02-17 03:45:00,49657.38,2021-02-17 04:15:00,49400.0,-0.33
2021-02-17 04:30:00,49114.98,2021-02-17 07:45:00,51112.39,4.066804058558094
2021-02-17 11:00:00,51509.44,2021-02-17 11:45:00,51273.46,-0.33
2021-02-17 12:00:00,51258.15,2021-02-17 12:45:00,51039.56,-0.33
2021-02-17 13:00:00,50937.78,2021-02-17 13:15:00,50769.67,-0.33
2021-02-17 13:30:00,50918.05,2021-02-19 09:15:00,52710.81,3.52087324632423
2021-02-19 12:00:00,52674.63,2021-02-19 13:00:00,52439.55,-0.33
2021-02-19 13:15:00,52528.77,2021-02-19 16:15:00,54402.01,3.566121955644507
2021-02-19 20:00:00,55023.4,2021-02-20 12:00:00,57065.52,3.711366436825051
2021-02-20 15:00:00,56672.39,2021-02-20 15:15:00,56108.62,-0.33
2021-02-20 15:30:00,56036.59,2021-02-20 22:30:00,54838.73,-0.33
2021-02-20 22:45:00,55423.99,2021-02-21 10:15:00,57484.42,3.7175778936161046
2021-02-21 12:45:00,56888.8,2021-02-22 00:45:00,56235.15,-0.33
2021-02-22 01:00:00,56550.0,2021-02-22 03:30:00,56299.26,-0.33
2021-02-22 03:45:00,55860.12,2021-02-22 04:15:00,55560.01,-0.33
2021-02-22 04:30:00,55315.46,2021-02-22 09:45:00,54766.39,-0.33
2021-02-22 10:00:00,54245.34,2021-02-22 12:00:00,53612.28,-0.33
2021-02-22 12:15:00,53647.3,2021-02-22 13:15:00,53034.15,-0.33
2021-02-22 13:30:00,53200.0,2021-02-22 13:45:00,52070.47,-0.33
2021-02-22 14:00:00,50517.37,2021-02-22 15:15:00,52891.84,4.700304073628524
2021-02-22 18:15:00,52881.34,2021-02-22 21:45:00,54883.16,3.7854940892193865
2021-02-22 23:15:00,53567.06,2021-02-23 00:00:00,53127.06,-0.33
2021-02-23 00:15:00,53345.33,2021-02-23 01:15:00,52756.44,-0.33
2021-02-23 01:30:00,52960.7,2021-02-23 01:45:00,52546.18,-0.33
2021-02-23 02:00:00,52748.58,2021-02-23 02:15:00,51993.13,-0.33
2021-02-23 02:30:00,51573.92,2021-02-23 02:45:00,51218.63,-0.33
2021-02-23 03:00:00,52216.45,2021-02-23 03:15:00,51816.19,-0.33
2021-02-23 03:30:00,51523.63,2021-02-23 04:30:00,50750.4,-0.33
2021-02-23 04:45:00,50754.5,2021-02-23 05:00:00,49335.29,-0.33
2021-02-23 05:15:00,49366.14,2021-02-23 08:00:00,48424.18,-0.33
2021-02-23 08:15:00,47570.04,2021-02-23 08:45:00,46565.18,-0.33
2021-02-23 09:00:00,46986.47,2021-02-23 11:15:00,46830.24,-0.33
2021-02-23 11:45:00,46369.29,2021-02-23 12:45:00,48670.21,4.962163535391632
2021-02-23 17:15:00,47834.83,2021-02-23 17:30:00,47309.43,-0.33
2021-02-23 17:45:00,47175.27,2021-02-23 18:00:00,46525.06,-0.33
2021-02-23 18:15:00,47313.23,2021-02-23 18:45:00,46881.49,-0.33
2021-02-23 19:00:00,47057.34,2021-02-23 19:30:00,45668.94,-0.33
2021-02-23 19:45:00,45523.0,2021-02-23 20:45:00,47814.5,5.033719218856402
2021-02-24 00:30:00,47713.91,2021-02-24 01:30:00,49719.52,4.203407350183611
2021-02-24 05:15:00,50399.72,2021-02-24 06:00:00,49736.62,-0.33
2021-02-24 06:15:00,49666.93,2021-02-24 13:30:00,49453.55,-0.33
2021-02-24 13:45:00,49481.61,2021-02-24 14:30:00,48774.57,-0.33
2021-02-24 14:45:00,49404.04,2021-02-24 15:00:00,48914.08,-0.33
2021-02-24 15:15:00,49144.43,2021-02-24 19:30:00,48969.46,-0.33
2021-02-24 19:45:00,48959.93,2021-02-24 20:30:00,48629.66,-0.33
2021-02-24 20:45:00,49101.18,2021-02-24 21:00:00,48500.51,-0.33
2021-02-24 21:15:00,48152.16,2021-02-25 00:15:00,50316.84,4.495499267322573
2021-02-25 03:30:00,50333.77,2021-02-25 04:00:00,50066.57,-0.33
2021-02-25 04:15:00,50287.94,2021-02-25 04:30:00,49982.06,-0.33
2021-02-25 04:45:00,49627.34,2021-02-25 09:00:00,49253.07,-0.33
2021-02-25 09:15:00,48935.78,2021-02-25 09:30:00,48773.8,-0.33
2021-02-25 09:45:00,48977.03,2021-02-25 12:45:00,51487.06,5.124912637618081
2021-02-25 15:30:00,50867.47,2021-02-25 16:45:00,50630.66,-0.33
2021-02-25 17:00:00,50095.31,2021-02-25 17:15:00,49716.41,-0.33
2021-02-25 17:30:00,49633.59,2021-02-25 19:45:00,49443.86,-0.33
2021-02-25 20:00:00,48872.55,2021-02-25 21:30:00,48650.47,-0.33
2021-02-25 21:45:00,48101.99,2021-02-25 22:00:00,47902.26,-0.33
2021-02-25 22:15:00,48697.68,2021-02-25 22:30:00,48342.59,-0.33
2021-02-25 22:45:00,48235.85,2021-02-25 23:00:00,47947.9,-0.33
2021-02-25 23:15:00,48265.5,2021-02-25 23:30:00,47335.08,-0.33
2021-02-25 23:45:00,47073.73,2021-02-26 00:15:00,46752.35,-0.33
2021-02-26 00:30:00,46184.09,2021-02-26 05:45:00,45517.53,-0.33
2021-02-26 06:00:00,46107.44,2021-02-26 06:15:00,45828.47,-0.33
2021-02-26 06:30:00,46048.53,2021-02-26 07:15:00,45381.11,-0.33
2021-02-26 07:30:00,44397.85,2021-02-26 09:00:00,46334.34,4.36167517120761
2021-02-26 14:00:00,46072.31,2021-02-26 16:00:00,47735.77,3.61054177661159
2021-02-26 18:30:00,47738.15,2021-02-26 18:45:00,47317.09,-0.33
2021-02-26 19:00:00,47256.71,2021-02-26 19:30:00,46641.27,-0.33
2021-02-26 19:45:00,46959.17,2021-02-26 20:15:00,46178.09,-0.33
2021-02-26 20:30:00,46588.57,2021-02-26 20:45:00,46270.0,-0.33
2021-02-26 21:00:00,46384.69,2021-02-26 21:45:00,45677.46,-0.33
2021-02-26 22:00:00,45157.49,2021-02-27 00:30:00,47150.01,4.41237987319491
2021-02-27 04:15:00,47746.29,2021-02-27 05:15:00,47573.28,-0.33
2021-02-27 05:30:00,47724.35,2021-02-27 06:45:00,47566.6,-0.33
2021-02-27 07:00:00,47187.04,2021-02-27 08:15:00,46552.38,-0.33
2021-02-27 08:30:00,46732.19,2021-02-27 09:00:00,46478.19,-0.33
2021-02-27 09:15:00,46566.89,2021-02-27 09:30:00,46363.12,-0.33
