series,timestamp,value,label
lows,2021-01-12T23:00:00+00:00,0.00786,wait
highs,2021-01-12T23:00:00+00:00,0.0081214,wait
closes,2021-01-12T23:00:00+00:00,0.0080807,wait
lows,2021-01-13T00:00:00+00:00,0.00777,wait
highs,2021-01-13T00:00:00+00:00,0.0081,wait
closes,2021-01-13T00:00:00+00:00,0.0077843,wait
lows,2021-01-13T01:00:00+00:00,0.0077763,wait
highs,2021-01-13T01:00:00+00:00,0.0079777,wait
closes,2021-01-13T01:00:00+00:00,0.0079575,wait
highs,2021-01-13T02:00:00+00:00,0.0080343,wait
closes,2021-01-13T02:00:00+00:00,0.0078775,wait
lows,2021-01-13T02:00:00+00:00,0.0078137,wait
closes,2021-01-13T03:00:00+00:00,0.0079275,wait
lows,2021-01-13T03:00:00+00:00,0.0078623,wait
highs,2021-01-13T03:00:00+00:00,0.00806,wait
closes,2021-01-13T04:00:00+00:00,0.0078552,wait
lows,2021-01-13T04:00:00+00:00,0.007815,wait
highs,2021-01-13T04:00:00+00:00,0.008,wait
closes,2021-01-13T05:00:00+00:00,0.0079,wait
highs,2021-01-13T05:00:00+00:00,0.0079208,wait
lows,2021-01-13T05:00:00+00:00,0.0078017,wait
highs,2021-01-13T06:00:00+00:00,0.00811,wait
closes,2021-01-13T06:00:00+00:00,0.0080417,wait
lows,2021-01-13T06:00:00+00:00,0.0079,wait
highs,2021-01-13T07:00:00+00:00,0.0083619,wait
closes,2021-01-13T07:00:00+00:00,0.0083126,wait
lows,2021-01-13T07:00:00+00:00,0.0080204,wait
closes,2021-01-13T08:00:00+00:00,0.0081664,wait
lows,2021-01-13T08:00:00+00:00,0.0081023,wait
highs,2021-01-13T08:00:00+00:00,0.0083115,wait
lows,2021-01-13T09:00:00+00:00,0.0080693,wait
highs,2021-01-13T09:00:00+00:00,0.0082772,wait
closes,2021-01-13T09:00:00+00:00,0.0081074,wait
lows,2021-01-13T10:00:00+00:00,0.0081097,wait
highs,2021-01-13T10:00:00+00:00,0.008299,wait
closes,2021-01-13T10:00:00+00:00,0.0082,wait
highs,2021-01-13T11:00:00+00:00,0.0082989,wait
closes,2021-01-13T11:00:00+00:00,0.008147,wait
lows,2021-01-13T11:00:00+00:00,0.00811,wait
closes,2021-01-13T12:00:00+00:00,0.008146,wait
lows,2021-01-13T12:00:00+00:00,0.00805,wait
highs,2021-01-13T12:00:00+00:00,0.0081758,wait
closes,2021-01-13T13:00:00+00:00,0.0081403,wait
lows,2021-01-13T13:00:00+00:00,0.00808,wait
highs,2021-01-13T13:00:00+00:00,0.0081766,wait
lows,2021-01-13T14:00:00+00:00,0.0080684,wait
highs,2021-01-13T14:00:00+00:00,0.008247,wait
closes,2021-01-13T14:00:00+00:00,0.00807,wait
highs,2021-01-13T15:00:00+00:00,0.0082132,wait
closes,2021-01-13T15:00:00+00:00,0.0081712,wait
lows,2021-01-13T15:00:00+00:00,0.0080814,wait
highs,2021-01-13T16:00:00+00:00,0.0082271,wait
closes,2021-01-13T16:00:00+00:00,0.00815,wait
lows,2021-01-13T16:00:00+00:00,0.0081008,wait
highs,2021-01-13T17:00:00+00:00,0.0081548,wait
lows,2021-01-13T17:00:00+00:00,0.0081103,wait
closes,2021-01-13T17:00:00+00:00,0.0081394,wait
lows,2021-01-13T18:00:00+00:00,0.008086,wait
closes,2021-01-13T18:00:00+00:00,0.0082641,wait
highs,2021-01-13T18:00:00+00:00,0.00831,wait
lows,2021-01-13T19:00:00+00:00,0.008237,wait
closes,2021-01-13T19:00:00+00:00,0.008306,wait
highs,2021-01-13T19:00:00+00:00,0.0083584,wait
lows,2021-01-13T20:00:00+00:00,0.0082448,wait
closes,2021-01-13T20:00:00+00:00,0.00837,wait
highs,2021-01-13T20:00:00+00:00,0.0084998,wait
lows,2021-01-13T21:00:00+00:00,0.0083217,wait
closes,2021-01-13T21:00:00+00:00,0.0085238,wait
highs,2021-01-13T21:00:00+00:00,0.0085558,wait
closes,2021-01-13T22:00:00+00:00,0.0084918,wait
highs,2021-01-13T22:00:00+00:00,0.00865,wait
lows,2021-01-13T22:00:00+00:00,0.0083829,wait
highs,2021-01-13T23:00:00+00:00,0.0087,wait
closes,2021-01-13T23:00:00+00:00,0.0086738,wait
lows,2021-01-13T23:00:00+00:00,0.0084896,wait
highs,2021-01-14T00:00:00+00:00,0.00881,wait
closes,2021-01-14T00:00:00+00:00,0.0086015,wait
lows,2021-01-14T00:00:00+00:00,0.008545,wait
closes,2021-01-14T01:00:00+00:00,0.0084779,wait
lows,2021-01-14T01:00:00+00:00,0.00845,wait
highs,2021-01-14T01:00:00+00:00,0.0086149,wait
lows,2021-01-14T02:00:00+00:00,0.0084332,wait
highs,2021-01-14T02:00:00+00:00,0.008535,wait
closes,2021-01-14T02:00:00+00:00,0.008462,wait
lows,2021-01-14T03:00:00+00:00,0.0084113,wait
highs,2021-01-14T03:00:00+00:00,0.0085535,wait
closes,2021-01-14T03:00:00+00:00,0.008455,wait
lows,2021-01-14T04:00:00+00:00,0.0083558,wait
closes,2021-01-14T04:00:00+00:00,0.0083701,wait
highs,2021-01-14T04:00:00+00:00,0.0084506,wait
closes,2021-01-14T05:00:00+00:00,0.0083952,wait
highs,2021-01-14T05:00:00+00:00,0.008401,wait
lows,2021-01-14T05:00:00+00:00,0.0083105,wait
closes,2021-01-14T06:00:00+00:00,0.008619,wait
highs,2021-01-14T06:00:00+00:00,0.0086309,wait
lows,2021-01-14T06:00:00+00:00,0.00838,wait
closes,2021-01-14T07:00:00+00:00,0.0086168,wait
highs,2021-01-14T07:00:00+00:00,0.0087,wait
lows,2021-01-14T07:00:00+00:00,0.0085465,wait
closes,2021-01-14T08:00:00+00:00,0.0085592,wait
highs,2021-01-14T08:00:00+00:00,0.0086962,wait
lows,2021-01-14T08:00:00+00:00,0.0085119,wait
closes,2021-01-14T09:00:00+00:00,0.008507,wait
