series,timestamp,value,label
lows,2020-11-13T05:00:00+00:00,459.3,wait
closes,2020-11-13T05:00:00+00:00,460.53,wait
highs,2020-11-13T05:00:00+00:00,463.5,wait
lows,2020-11-13T06:00:00+00:00,459.4,wait
closes,2020-11-13T06:00:00+00:00,461.44,wait
highs,2020-11-13T06:00:00+00:00,462.1,wait
lows,2020-11-13T07:00:00+00:00,457.12,wait
closes,2020-11-13T07:00:00+00:00,460.21,wait
highs,2020-11-13T07:00:00+00:00,461.47,wait
closes,2020-11-13T08:00:00+00:00,464.76,wait
highs,2020-11-13T08:00:00+00:00,465.8,wait
lows,2020-11-13T08:00:00+00:00,458.02,wait
highs,2020-11-13T09:00:00+00:00,468.85,wait
lows,2020-11-13T09:00:00+00:00,464.58,wait
closes,2020-11-13T09:00:00+00:00,467.12,wait
highs,2020-11-13T10:00:00+00:00,467.74,wait
lows,2020-11-13T10:00:00+00:00,461.07,wait
closes,2020-11-13T10:00:00+00:00,463.0,wait
highs,2020-11-13T11:00:00+00:00,464.8,wait
closes,2020-11-13T11:00:00+00:00,464.26,wait
lows,2020-11-13T11:00:00+00:00,461.3,wait
closes,2020-11-13T12:00:00+00:00,465.33,wait
highs,2020-11-13T12:00:00+00:00,467.81,wait
lows,2020-11-13T12:00:00+00:00,462.91,wait
closes,2020-11-13T13:00:00+00:00,471.28,wait
highs,2020-11-13T13:00:00+00:00,473.2,wait
lows,2020-11-13T13:00:00+00:00,464.41,wait
highs,2020-11-13T14:00:00+00:00,474.27,wait
lows,2020-11-13T14:00:00+00:00,467.92,wait
closes,2020-11-13T14:00:00+00:00,472.09,wait
lows,2020-11-13T15:00:00+00:00,467.6,wait
closes,2020-11-13T15:00:00+00:00,469.33,wait
highs,2020-11-13T15:00:00+00:00,472.79,wait
lows,2020-11-13T16:00:00+00:00,464.68,wait
closes,2020-11-13T16:00:00+00:00,469.21,wait
highs,2020-11-13T16:00:00+00:00,471.75,wait
closes,2020-11-13T17:00:00+00:00,471.19,wait
highs,2020-11-13T17:00:00+00:00,471.23,wait
lows,2020-11-13T17:00:00+00:00,466.48,wait
highs,2020-11-13T18:00:00+00:00,472.45,wait
lows,2020-11-13T18:00:00+00:00,470.14,wait
closes,2020-11-13T18:00:00+00:00,472.15,wait
highs,2020-11-13T19:00:00+00:00,474.94,wait
lows,2020-11-13T19:00:00+00:00,471.41,wait
closes,2020-11-13T19:00:00+00:00,473.56,wait
lows,2020-11-13T20:00:00+00:00,469.53,wait
closes,2020-11-13T20:00:00+00:00,469.67,wait
highs,2020-11-13T20:00:00+00:00,473.57,wait
closes,2020-11-13T21:00:00+00:00,471.58,wait
highs,2020-11-13T21:00:00+00:00,472.11,wait
lows,2020-11-13T21:00:00+00:00,469.5,wait
closes,2020-11-13T22:00:00+00:00,476.3,wait
highs,2020-11-13T22:00:00+00:00,478.01,wait
lows,2020-11-13T22:00:00+00:00,471.53,wait
closes,2020-11-13T23:00:00+00:00,476.43,wait
lows,2020-11-13T23:00:00+00:00,474.05,wait
highs,2020-11-13T23:00:00+00:00,477.28,wait
lows,2020-11-14T00:00:00+00:00,471.4,wait
highs,2020-11-14T00:00:00+00:00,477.47,wait
closes,2020-11-14T00:00:00+00:00,474.27,wait
