series,timestamp,value,label
lows,2020-11-12T23:00:00+00:00,0.0027611,
closes,2020-11-12T23:00:00+00:00,0.0027788,
highs,2020-11-12T23:00:00+00:00,0.0027788,
lows,2020-11-13T00:00:00+00:00,0.002773,
closes,2020-11-13T00:00:00+00:00,0.0027958,
highs,2020-11-13T00:00:00+00:00,0.0027958,
lows,2020-11-13T01:00:00+00:00,0.002794,
closes,2020-11-13T01:00:00+00:00,0.0028058,
highs,2020-11-13T01:00:00+00:00,0.0028175,
closes,2020-11-13T02:00:00+00:00,0.0028029,
highs,2020-11-13T02:00:00+00:00,0.002809,
lows,2020-11-13T02:00:00+00:00,0.0027924,
highs,2020-11-13T03:00:00+00:00,0.00281,
lows,2020-11-13T03:00:00+00:00,0.0027951,
closes,2020-11-13T03:00:00+00:00,0.0027951,
highs,2020-11-13T04:00:00+00:00,0.0028015,
lows,2020-11-13T04:00:00+00:00,0.002789,
closes,2020-11-13T04:00:00+00:00,0.0027901,
highs,2020-11-13T05:00:00+00:00,0.0027902,
closes,2020-11-13T05:00:00+00:00,0.0027879,
lows,2020-11-13T05:00:00+00:00,0.00277,
closes,2020-11-13T06:00:00+00:00,0.0027859,
highs,2020-11-13T06:00:00+00:00,0.002792,
lows,2020-11-13T06:00:00+00:00,0.0027821,
closes,2020-11-13T07:00:00+00:00,0.002787,
highs,2020-11-13T07:00:00+00:00,0.0027877,
lows,2020-11-13T07:00:00+00:00,0.0027666,
highs,2020-11-13T08:00:00+00:00,0.0028135,
lows,2020-11-13T08:00:00+00:00,0.002778,
closes,2020-11-13T08:00:00+00:00,0.0028079,
lows,2020-11-13T09:00:00+00:00,0.0027971,
closes,2020-11-13T09:00:00+00:00,0.0028031,
highs,2020-11-13T09:00:00+00:00,0.0028248,
lows,2020-11-13T10:00:00+00:00,0.0027854,
closes,2020-11-13T10:00:00+00:00,0.0027924,
highs,2020-11-13T10:00:00+00:00,0.0028085,
closes,2020-11-13T11:00:00+00:00,0.0028003,
highs,2020-11-13T11:00:00+00:00,0.0028076,
lows,2020-11-13T11:00:00+00:00,0.0027779,
highs,2020-11-13T12:00:00+00:00,0.0028138,
lows,2020-11-13T12:00:00+00:00,0.0028003,
closes,2020-11-13T12:00:00+00:00,0.0028079,
highs,2020-11-13T13:00:00+00:00,0.0028351,
lows,2020-11-13T13:00:00+00:00,0.0028016,
closes,2020-11-13T13:00:00+00:00,0.0028218,
lows,2020-11-13T14:00:00+00:00,0.0028002,
closes,2020-11-13T14:00:00+00:00,0.0028133,
highs,2020-11-13T14:00:00+00:00,0.0028333,
closes,2020-11-13T15:00:00+00:00,0.0028239,
highs,2020-11-13T15:00:00+00:00,0.002825,
lows,2020-11-13T15:00:00+00:00,0.0028003,
closes,2020-11-13T16:00:00+00:00,0.0028219,
highs,2020-11-13T16:00:00+00:00,0.0028483,
lows,2020-11-13T16:00:00+00:00,0.0028016,
closes,2020-11-13T17:00:00+00:00,0.0028154,
lows,2020-11-13T17:00:00+00:00,0.00281,
highs,2020-11-13T17:00:00+00:00,0.002825,
lows,2020-11-13T18:00:00+00:00,0.002806,
highs,2020-11-13T18:00:00+00:00,0.0028249,
closes,2020-11-13T18:00:00+00:00,0.0028168,
lows,2020-11-13T19:00:00+00:00,0.0028042,
highs,2020-11-13T19:00:00+00:00,0.0028236,
closes,2020-11-13T19:00:00+00:00,0.0028218,
lows,2020-11-13T20:00:00+00:00,0.0028062,
highs,2020-11-13T20:00:00+00:00,0.0028219,
closes,2020-11-13T20:00:00+00:00,0.0028144,
lows,2020-11-13T21:00:00+00:00,0.0028141,
highs,2020-11-13T21:00:00+00:00,0.0028343,
closes,2020-11-13T21:00:00+00:00,0.0028152,
highs,2020-11-13T22:00:00+00:00,0.0028401,
closes,2020-11-13T22:00:00+00:00,0.0028345,
lows,2020-11-13T22:00:00+00:00,0.002808,
closes,2020-11-13T23:00:00+00:00,0.0028114,
highs,2020-11-13T23:00:00+00:00,0.0028454,
lows,2020-11-13T23:00:00+00:00,0.0028057,
closes,2020-11-14T00:00:00+00:00,0.002816,
highs,2020-11-14T00:00:00+00:00,0.0028239,
lows,2020-11-14T00:00:00+00:00,0.0027878,
highs,2020-11-14T01:00:00+00:00,0.0028207,
lows,2020-11-14T01:00:00+00:00,0.0027901,
closes,2020-11-14T01:00:00+00:00,0.0028001,
lows,2020-11-14T02:00:00+00:00,0.0027901,
closes,2020-11-14T02:00:00+00:00,0.0027908,
highs,2020-11-14T02:00:00+00:00,0.0028141,
lows,2020-11-14T03:00:00+00:00,0.0027833,
closes,2020-11-14T03:00:00+00:00,0.0027953,
highs,2020-11-14T03:00:00+00:00,0.0028024,
lows,2020-11-14T04:00:00+00:00,0.00276,
highs,2020-11-14T04:00:00+00:00,0.0027931,
closes,2020-11-14T04:00:00+00:00,0.0027659,
highs,2020-11-14T05:00:00+00:00,0.0027809,
closes,2020-11-14T05:00:00+00:00,0.0027709,
lows,2020-11-14T05:00:00+00:00,0.0027579,
highs,2020-11-14T06:00:00+00:00,0.0027829,
closes,2020-11-14T06:00:00+00:00,0.002768,
lows,2020-11-14T06:00:00+00:00,0.0027517,
highs,2020-11-14T07:00:00+00:00,0.0027704,
closes,2020-11-14T07:00:00+00:00,0.0027598,
lows,2020-11-14T07:00:00+00:00,0.0027472,
highs,2020-11-14T08:00:00+00:00,0.0027698,
closes,2020-11-14T08:00:00+00:00,0.0027451,
lows,2020-11-14T08:00:00+00:00,0.002725,
highs,2020-11-14T09:00:00+00:00,0.00274,
lows,2020-11-14T09:00:00+00:00,0.0027086,
closes,2020-11-14T09:00:00+00:00,0.0027147,
lows,2020-11-14T10:00:00+00:00,0.002708,
closes,2020-11-14T10:00:00+00:00,0.0027262,
highs,2020-11-14T10:00:00+00:00,0.0027369,
lows,2020-11-14T11:00:00+00:00,0.0027201,
closes,2020-11-14T11:00:00+00:00,0.0027472,
highs,2020-11-14T11:00:00+00:00,0.0027472,
closes,2020-11-14T12:00:00+00:00,0.0027563,
highs,2020-11-14T12:00:00+00:00,0.0027614,
lows,2020-11-14T12:00:00+00:00,0.0027321,
highs,2020-11-14T13:00:00+00:00,0.0027608,
lows,2020-11-14T13:00:00+00:00,0.00275,
closes,2020-11-14T13:00:00+00:00,0.0027547,
highs,2020-11-14T14:00:00+00:00,0.0027711,
lows,2020-11-14T14:00:00+00:00,0.0027525,
closes,2020-11-14T14:00:00+00:00,0.002765,
highs,2020-11-14T15:00:00+00:00,0.0027729,
closes,2020-11-14T15:00:00+00:00,0.0027669,
lows,2020-11-14T15:00:00+00:00,0.0027542,
closes,2020-11-14T16:00:00+00:00,0.0027491,
lows,2020-11-14T16:00:00+00:00,0.002749,
highs,2020-11-14T16:00:00+00:00,0.0027772,
closes,2020-11-14T17:00:00+00:00,0.0027692,
lows,2020-11-14T17:00:00+00:00,0.0027286,
highs,2020-11-14T17:00:00+00:00,0.0027739,
closes,2020-11-14T18:00:00+00:00,0.0027681,
lows,2020-11-14T18:00:00+00:00,0.0027642,
highs,2020-11-14T18:00:00+00:00,0.002777,
closes,2020-11-14T19:00:00+00:00,0.002761,
lows,2020-11-14T19:00:00+00:00,0.0027567,
highs,2020-11-14T19:00:00+00:00,0.0027828,
closes,2020-11-14T20:00:00+00:00,0.0027719,
highs,2020-11-14T20:00:00+00:00,0.0027764,
lows,2020-11-14T20:00:00+00:00,0.0027561,
highs,2020-11-14T21:00:00+00:00,0.002781,
lows,2020-11-14T21:00:00+00:00,0.002766,
closes,2020-11-14T21:00:00+00:00,0.0027722,
highs,2020-11-14T22:00:00+00:00,0.0027807,
lows,2020-11-14T22:00:00+00:00,0.0027605,
closes,2020-11-14T22:00:00+00:00,0.0027763,
lows,2020-11-14T23:00:00+00:00,0.002767,
closes,2020-11-14T23:00:00+00:00,0.0027689,
highs,2020-11-14T23:00:00+00:00,0.0027796,
closes,2020-11-15T00:00:00+00:00,0.0027897,
highs,2020-11-15T00:00:00+00:00,0.0027908,
lows,2020-11-15T00:00:00+00:00,0.0027646,
closes,2020-11-15T01:00:00+00:00,0.0027811,
highs,2020-11-15T01:00:00+00:00,0.0027918,
lows,2020-11-15T01:00:00+00:00,0.0027642,
closes,2020-11-15T02:00:00+00:00,0.0027777,
lows,2020-11-15T02:00:00+00:00,0.00277,
highs,2020-11-15T02:00:00+00:00,0.002789,
lows,2020-11-15T03:00:00+00:00,0.002766,
closes,2020-11-15T03:00:00+00:00,0.0027724,
highs,2020-11-15T03:00:00+00:00,0.002782,
lows,2020-11-15T04:00:00+00:00,0.0027643,
closes,2020-11-15T04:00:00+00:00,0.0027701,
highs,2020-11-15T04:00:00+00:00,0.0027746,
closes,2020-11-15T05:00:00+00:00,0.0027837,
highs,2020-11-15T05:00:00+00:00,0.0027879,
lows,2020-11-15T05:00:00+00:00,0.0027701,
highs,2020-11-15T06:00:00+00:00,0.0027943,
lows,2020-11-15T06:00:00+00:00,0.0027809,
closes,2020-11-15T06:00:00+00:00,0.0027874,
highs,2020-11-15T07:00:00+00:00,0.0027891,
lows,2020-11-15T07:00:00+00:00,0.00278,
closes,2020-11-15T07:00:00+00:00,0.0027862,
lows,2020-11-15T08:00:00+00:00,0.0027842,
closes,2020-11-15T08:00:00+00:00,0.0027984,
highs,2020-11-15T08:00:00+00:00,0.0028049,
closes,2020-11-15T09:00:00+00:00,0.0028048,
highs,2020-11-15T09:00:00+00:00,0.0028076,
lows,2020-11-15T09:00:00+00:00,0.0027901,
closes,2020-11-15T10:00:00+00:00,0.0027779,
highs,2020-11-15T10:00:00+00:00,0.0028285,
lows,2020-11-15T10:00:00+00:00,0.0027679,
highs,2020-11-15T11:00:00+00:00,0.0028061,
lows,2020-11-15T11:00:00+00:00,0.0027757,
closes,2020-11-15T11:00:00+00:00,0.0027867,
lows,2020-11-15T12:00:00+00:00,0.0027619,
closes,2020-11-15T12:00:00+00:00,0.0027839,
highs,2020-11-15T12:00:00+00:00,0.00279,
lows,2020-11-15T13:00:00+00:00,0.0027672,
closes,2020-11-15T13:00:00+00:00,0.0027889,
highs,2020-11-15T13:00:00+00:00,0.0027992,
lows,2020-11-15T14:00:00+00:00,0.0027856,
highs,2020-11-15T14:00:00+00:00,0.0028,
closes,2020-11-15T14:00:00+00:00,0.002794,
highs,2020-11-15T15:00:00+00:00,0.0027997,
closes,2020-11-15T15:00:00+00:00,0.0027977,
lows,2020-11-15T15:00:00+00:00,0.0027932,
highs,2020-11-15T16:00:00+00:00,0.0028,
closes,2020-11-15T16:00:00+00:00,0.0027901,
lows,2020-11-15T16:00:00+00:00,0.0027592,
highs,2020-11-15T17:00:00+00:00,0.0027909,
closes,2020-11-15T17:00:00+00:00,0.0027601,
lows,2020-11-15T17:00:00+00:00,0.0027441,
highs,2020-11-15T18:00:00+00:00,0.0027698,
closes,2020-11-15T18:00:00+00:00,0.0027591,
lows,2020-11-15T18:00:00+00:00,0.0027493,
closes,2020-11-15T19:00:00+00:00,0.0027551,
lows,2020-11-15T19:00:00+00:00,0.0027495,
highs,2020-11-15T19:00:00+00:00,0.002773,
lows,2020-11-15T20:00:00+00:00,0.002744,
closes,2020-11-15T20:00:00+00:00,0.002764,
highs,2020-11-15T20:00:00+00:00,0.0027691,
lows,2020-11-15T21:00:00+00:00,0.002735,
closes,2020-11-15T21:00:00+00:00,0.0027549,
highs,2020-11-15T21:00:00+00:00,0.0027952,
closes,2020-11-15T22:00:00+00:00,0.0027674,
highs,2020-11-15T22:00:00+00:00,0.0027819,
lows,2020-11-15T22:00:00+00:00,0.0027221,
highs,2020-11-15T23:00:00+00:00,0.002778,
lows,2020-11-15T23:00:00+00:00,0.0027645,
closes,2020-11-15T23:00:00+00:00,0.0027718,
highs,2020-11-16T00:00:00+00:00,0.002776,
lows,2020-11-16T00:00:00+00:00,0.0027557,
closes,2020-11-16T00:00:00+00:00,0.00277,
highs,2020-11-16T01:00:00+00:00,0.0027819,
closes,2020-11-16T01:00:00+00:00,0.002762,
lows,2020-11-16T01:00:00+00:00,0.0027548,
closes,2020-11-16T02:00:00+00:00,0.0027576,
lows,2020-11-16T02:00:00+00:00,0.0027522,
highs,2020-11-16T02:00:00+00:00,0.0027716,
closes,2020-11-16T03:00:00+00:00,0.0027875,
lows,2020-11-16T03:00:00+00:00,0.0027562,
highs,2020-11-16T03:00:00+00:00,0.0027878,
closes,2020-11-16T04:00:00+00:00,0.0027875,
lows,2020-11-16T04:00:00+00:00,0.0027786,
highs,2020-11-16T04:00:00+00:00,0.0027878,
closes,2020-11-16T05:00:00+00:00,0.0027919,
lows,2020-11-16T05:00:00+00:00,0.0027804,
