entry_date,entry_price,exit_date,exit_price,profit
2021-07-24 04:54:00,2129.74,2021-07-24 05:07:00,2125.05,-0.2
2021-07-24 05:08:00,2126.71,2021-07-24 08:12:00,2120.5,-0.2
2021-07-24 08:13:00,2117.27,2021-07-24 10:30:00,2154.37,1.7522564434389525
2021-07-24 10:45:00,2153.0,2021-07-24 11:00:00,2146.36,-0.2
2021-07-24 11:01:00,2146.41,2021-07-24 11:28:00,2141.31,-0.2
2021-07-24 11:29:00,2139.83,2021-07-24 14:47:00,2172.02,1.5043251099386428
2021-07-24 14:55:00,2165.03,2021-07-24 15:01:00,2159.0,-0.2
2021-07-24 15:02:00,2158.4,2021-07-24 15:47:00,2154.03,-0.2
2021-07-24 15:48:00,2154.66,2021-07-24 16:07:00,2148.54,-0.2
2021-07-24 16:08:00,2149.26,2021-07-24 16:53:00,2187.77,1.7917794961986804
2021-07-24 17:03:00,2188.38,2021-07-24 17:43:00,2182.5,-0.2
2021-07-24 17:44:00,2182.98,2021-07-24 18:48:00,2178.3,-0.2
2021-07-24 18:49:00,2178.68,2021-07-24 19:00:00,2171.77,-0.2
2021-07-24 19:01:00,2170.95,2021-07-24 19:04:00,2166.23,-0.2
2021-07-24 19:05:00,2167.88,2021-07-24 19:24:00,2162.6,-0.2
2021-07-24 19:25:00,2163.69,2021-07-24 19:44:00,2157.21,-0.2
2021-07-24 19:47:00,2148.61,2021-07-24 19:49:00,2143.58,-0.2
2021-07-24 19:50:00,2142.47,2021-07-24 20:25:00,2136.21,-0.2
2021-07-24 20:26:00,2133.09,2021-07-24 21:46:00,2166.16,1.550333084867479
2021-07-24 21:58:00,2167.6,2021-07-24 22:03:00,2162.73,-0.2
2021-07-24 22:04:00,2162.02,2021-07-24 22:12:00,2156.96,-0.2
2021-07-24 22:13:00,2159.18,2021-07-25 00:22:00,2193.55,1.5918080011856512
2021-07-25 00:28:00,2176.04,2021-07-25 00:39:00,2171.02,-0.2
2021-07-25 00:40:00,2167.39,2021-07-25 00:43:00,2159.33,-0.2
2021-07-25 00:44:00,2155.8,2021-07-25 00:45:00,2147.42,-0.2
2021-07-25 00:46:00,2148.48,2021-07-25 01:48:00,2143.91,-0.2
2021-07-25 01:49:00,2145.99,2021-07-25 01:54:00,2140.44,-0.2
