,type,entry_time,entry_price,exit_time,exit_price,percentual_difference,cumulative_profit
0,sl,2021-07-27 16:10:10.159030784,37990.29,2021-07-27 16:10:35.392112896,37983.27,-1.847840592952587,-1.847840592952587
1,sl,2021-07-27 16:10:36.499674624,37985.24,2021-07-27 16:10:41.730284800,37983.21,-0.5344181055585895,-2.382258698511176
2,sl,2021-07-27 16:10:42.769164032,37983.2,2021-07-27 16:11:01.347388160,37980.08,-0.8214157838189894,-3.2036744823301655
3,sl,2021-07-27 16:11:03.396890880,37975.51,2021-07-27 16:11:05.500342016,37972.74,-0.7294174587791117,-3.9330919411092773
4,sl,2021-07-27 16:11:06.531266304,37969.64,2021-07-27 16:11:07.557410048,37967.36,-0.6004797517171182,-4.533571692826396
5,tp,2021-07-27 16:11:08.602329088,37967.15,2021-07-27 16:11:21.047315968,37986.67,5.141286612241582,0.6077149194151863
6,sl,2021-07-27 16:11:32.668622080,37979.46,2021-07-27 16:11:44.312532992,37970.0,-2.4908200379887253,-1.883105118573539
7,sl,2021-07-27 16:11:45.387148800,37970.0,2021-07-27 16:11:47.460686848,37967.16,-0.7479589149319219,-2.631064033505461
8,tp,2021-07-27 16:11:48.525953024,37967.03,2021-07-27 16:12:08.259462656,37992.76,6.776932512235801,4.14586847873034
9,sl,2021-07-27 16:12:21.730136832,37978.43,2021-07-27 16:12:47.481420032,37965.0,-3.536217795206461,0.6096506835238791
10,sl,2021-07-27 16:12:48.576521728,37970.14,2021-07-27 16:12:52.107598080,37967.94,-0.5794026569291263,0.030248026594752786
11,sl,2021-07-27 16:12:53.309126656,37965.1,2021-07-27 16:13:51.613321984,37960.43,-1.2300770971229507,-1.1998290705281978
12,sl,2021-07-27 16:13:52.630752000,37958.79,2021-07-27 16:14:00.967511808,37953.8,-1.3145835259759235,-2.5144125965041213
13,sl,2021-07-27 16:14:17.532844800,37971.85,2021-07-27 16:14:34.312184832,37968.08,-0.9928407491330548,-3.507253345637176
14,tp,2021-07-27 16:14:35.353579008,37968.05,2021-07-27 16:15:12.933129216,37990.4,5.886528278381045,2.3792749327438685
