,type,entry_time,entry_price,exit_time,exit_price,percentual_difference,cumulative_profit
0,sl,2021-07-27 16:10:04.672301824,2243.69,2021-07-27 16:10:14.027257856,2242.95,-3.298138334619473,-3.298138334619473
1,sl,2021-07-27 16:10:15.088484352,2242.59,2021-07-27 16:10:36.830217216,2241.94,-2.8984343995116846,-6.196572734131157
2,sl,2021-07-27 16:10:37.873689856,2241.93,2021-07-27 16:10:40.997365248,2241.8,-0.5798575334629288,-6.776430267594086
3,sl,2021-07-27 16:10:42.041220352,2241.79,2021-07-27 16:10:44.097386496,2241.63,-0.7137153792275568,-7.4901456468216425
4,sl,2021-07-27 16:10:45.129684992,2241.63,2021-07-27 16:10:54.419280640,2241.45,-0.8029871120581499,-8.293132758879793
5,sl,2021-07-27 16:11:02.676334080,2240.74,2021-07-27 16:11:05.777006080,2240.51,-1.026446620310984,-9.319579379190778
6,tp,2021-07-27 16:11:06.806845696,2240.52,2021-07-27 16:11:17.169638144,2241.92,6.248549443879505,-3.071029935311272
7,sl,2021-07-27 16:11:31.821934080,2241.69,2021-07-27 16:11:36.109000960,2241.54,-0.6691380164076699,-3.7401679517189423
8,tp,2021-07-27 16:11:37.134019328,2241.22,2021-07-27 16:11:59.144131584,2242.5,5.7111751635279004,1.971007211808958
9,sl,2021-07-27 16:12:09.564000512,2241.58,2021-07-27 16:12:15.814043392,2241.42,-0.7137822428816036,1.2572249689273545
10,sl,2021-07-27 16:12:16.863471872,2241.41,2021-07-27 16:12:17.915319296,2241.28,-0.579992058568733,0.6772329103586214
11,sl,2021-07-27 16:12:18.935678208,2241.27,2021-07-27 16:12:31.572793600,2240.59,-3.0339941194047855,-2.356761209046164
12,sl,2021-07-27 16:12:33.633747456,2240.86,2021-07-27 16:12:36.724285440,2240.54,-1.4280231696766585,-3.7847843787228226
13,tp,2021-07-27 16:12:37.766851328,2240.87,2021-07-27 16:13:07.525730048,2242.0,5.042684314574738,1.2578999358519156
14,sl,2021-07-27 16:13:16.710643968,2241.36,2021-07-27 16:13:22.843824128,2241.2,-0.7138523039596907,0.5440476318922249
15,sl,2021-07-27 16:13:23.862974976,2240.94,2021-07-27 16:13:26.988726528,2240.79,-0.6693619641761535,-0.12531433228392852
16,sl,2021-07-27 16:13:28.022654464,2240.78,2021-07-27 16:13:30.251700224,2240.54,-1.0710556145638415,-1.19636994684777
17,tp,2021-07-27 16:13:31.298472448,2240.54,2021-07-27 16:13:41.752869888,2241.72,5.266587519079492,4.070217572231722
18,sl,2021-07-27 16:14:04.841131264,2241.66,2021-07-27 16:14:06.936782336,2241.47,-0.847586163825266,3.222631408406456
19,sl,2021-07-27 16:14:07.978499584,2241.42,2021-07-27 16:14:10.126788608,2241.22,-0.892291493786407,2.330339914620049
20,tp,2021-07-27 16:14:11.163969024,2241.44,2021-07-27 16:14:39.700470016,2242.61,5.219858662288853,7.550198576908903
