,type,entry_time,entry_price,exit_time,exit_price,percentual_difference,cumulative_profit
0,sl,2021-07-27 16:51:18.218443776,307.0,2021-07-27 16:52:08.716383488,306.95,-1.6286644951143767,-1.6286644951143767
1,sl,2021-07-27 16:52:09.749737984,306.93,2021-07-27 16:52:24.229731584,306.91,-0.6516143746125113,-2.280278869726888
2,tp,2021-07-27 16:52:25.263227648,306.91,2021-07-27 16:53:16.683830016,307.07,5.213254700073904,2.932975830347016
3,sl,2021-07-27 16:53:21.782391040,307.01,2021-07-27 16:55:15.968627200,306.99,-0.6514445783519043,2.2815312519951116
4,sl,2021-07-27 16:55:21.095977984,306.97,2021-07-27 16:56:23.718016768,306.89,-2.6061178616816276,-0.324586609686516
5,tp,2021-07-27 16:56:25.770404352,306.88,2021-07-27 16:56:35.002030336,307.06,5.865484880083643,5.540898270397127
6,sl,2021-07-27 16:56:55.462115584,307.15,2021-07-27 16:56:59.563791616,307.1,-1.6278691193213262,3.913029151075801
7,sl,2021-07-27 16:57:00.602989568,307.09,2021-07-27 16:57:03.674781696,307.07,-0.6512748705585272,3.261754280517274
8,sl,2021-07-27 16:57:04.690434048,307.06,2021-07-27 16:57:31.332070400,307.02,-1.3026770012382096,1.9590772792790645
9,sl,2021-07-27 16:57:32.349577984,307.05,2021-07-27 16:57:33.377158144,307.0,-1.6283992835046854,0.33067799577437906
10,sl,2021-07-27 16:57:34.410436096,307.0,2021-07-27 16:59:20.419918848,306.81,-6.188925081433151,-5.858247085658772
11,sl,2021-07-27 16:59:21.437117184,306.81,2021-07-27 17:02:00.622213888,306.76,-1.6296730875790022,-7.487920173237774
12,tp,2021-07-27 17:02:01.673748224,306.81,2021-07-27 17:02:09.977807104,306.97,5.214953880252436,-2.2729662929853385
13,sl,2021-07-27 17:02:21.312588544,306.89,2021-07-27 17:02:33.639842304,306.82,-2.280947570790615,-4.5539138637759535
14,sl,2021-07-27 17:02:34.658291200,306.82,2021-07-27 17:02:49.060405760,306.73,-2.933315950719477,-7.48722981449543
15,sl,2021-07-27 17:02:50.093726464,306.67,2021-07-27 17:02:51.110053376,306.64,-0.9782502364114376,-8.465480050906868
16,sl,2021-07-27 17:02:52.137078016,306.62,2021-07-27 17:02:56.250397184,306.6,-0.6522731720038423,-9.117753222910709
17,sl,2021-07-27 17:02:57.279176960,306.61,2021-07-27 17:03:01.362174720,306.59,-0.6522944457140554,-9.770047668624764
18,sl,2021-07-27 17:03:46.643531008,306.69,2021-07-27 17:03:50.755155712,306.65,-1.3042485897818794,-11.074296258406644
19,sl,2021-07-27 17:03:51.786517504,306.68,2021-07-27 17:03:58.943672064,306.61,-2.282509456110381,-13.356805714517025
20,tp,2021-07-27 17:03:59.966262528,306.61,2021-07-27 17:04:45.350352384,306.77,5.21835556570132,-8.138450148815703
21,sl,2021-07-27 17:04:50.467192832,306.78,2021-07-27 17:04:53.565337344,306.69,-2.9336984158020405,-11.072148564617745
22,sl,2021-07-27 17:04:54.585684224,306.69,2021-07-27 17:05:26.376066560,306.66,-0.9781864423350196,-12.050335006952764
23,sl,2021-07-27 17:05:27.393843200,306.67,2021-07-27 17:05:32.625081088,306.65,-0.6521668242749097,-12.702501831227673
24,sl,2021-07-27 17:05:33.652632320,306.59,2021-07-27 17:05:36.774774016,306.57,-0.6523369972922082,-13.354838828519881
25,sl,2021-07-27 17:05:37.793673728,306.57,2021-07-27 17:05:52.229667584,306.49,-2.6095182176985383,-15.964357046218419
26,sl,2021-07-27 17:05:54.306137088,306.48,2021-07-27 17:06:09.745608704,306.44,-1.3051422605070628,-17.269499306725482
27,sl,2021-07-27 17:06:11.783654656,306.46,2021-07-27 17:06:12.801911296,306.32,-4.568296025582012,-21.837795332307493
28,sl,2021-07-27 17:06:13.840402944,306.3,2021-07-27 17:06:16.930445056,306.23,-2.2853411687885465,-24.12313650109604
29,tp,2021-07-27 17:06:18.006184192,306.24,2021-07-27 17:06:48.642748928,306.4,5.224660397073151,-18.89847610402289
30,sl,2021-07-27 17:06:57.967129856,306.33,2021-07-27 17:06:59.011698688,306.31,-0.6528906734561359,-19.551366777479025
31,sl,2021-07-27 17:07:00.054087168,306.32,2021-07-27 17:07:01.119960832,306.3,-0.652911987463496,-20.204278764942522
32,sl,2021-07-27 17:07:02.200966656,306.3,2021-07-27 17:07:20.923701504,306.25,-1.6323865491352063,-21.836665314077727
33,sl,2021-07-27 17:07:21.980581888,306.25,2021-07-27 17:07:23.052738048,306.2,-1.632653061224861,-23.46931837530259
34,sl,2021-07-27 17:07:24.081891840,306.16,2021-07-27 17:07:25.137046784,306.03,-4.246145806116157,-27.715464181418746
35,sl,2021-07-27 17:07:26.203035648,306.04,2021-07-27 17:07:27.250352896,306.0,-1.3070186903679406,-29.022482871786686
36,sl,2021-07-27 17:07:28.287232000,305.91,2021-07-27 17:07:29.343907072,305.84,-2.2882547154408166,-31.310737587227504
37,sl,2021-07-27 17:07:30.371988224,305.89,2021-07-27 17:07:31.399550208,305.87,-0.6538298081003566,-31.96456739532786
38,sl,2021-07-27 17:07:32.443544576,305.79,2021-07-27 17:07:33.495798784,305.74,-1.635109061774792,-33.59967645710265
39,sl,2021-07-27 17:07:34.543697408,305.72,2021-07-27 17:07:46.037304576,305.69,-0.981290069345465,-34.580966526448115
40,sl,2021-07-27 17:08:30.447267840,306.06,2021-07-27 17:08:34.536214272,306.01,-1.633666601320374,-36.21463312776849
41,sl,2021-07-27 17:08:35.555724288,306.01,2021-07-27 17:08:38.616996864,305.96,-1.6339335315843067,-37.84856665935279
42,sl,2021-07-27 17:08:39.685042176,305.92,2021-07-27 17:08:40.780376576,305.9,-0.6537656903778325,-38.50233234973062
