,date,open,high,low,close,volume
0,2021-07-27 17:52:40.652053504,307.38,307.66,307.34,307.5,463.35
1,2021-07-27 17:52:44.773391872,307.38,307.66,307.31,307.32,611.64
2,2021-07-27 17:52:48.874587648,307.38,307.66,307.31,307.36,710.94
3,2021-07-27 17:52:52.918738176,307.38,307.66,307.31,307.35,722.61
4,2021-07-27 17:52:57.002148096,307.38,307.66,307.31,307.36,726.18
5,2021-07-27 17:53:01.101429504,307.38,307.66,307.31,307.36,732.24
6,2021-07-27 17:53:05.181181440,307.38,307.66,307.31,307.37,734.8
7,2021-07-27 17:53:09.262034688,307.38,307.66,307.31,307.41,767.25
8,2021-07-27 17:53:13.361609216,307.38,307.66,307.31,307.41,780.17
9,2021-07-27 17:53:17.425062400,307.43,307.47,307.43,307.47,4.94
10,2021-07-27 17:53:21.506842368,307.43,307.49,307.43,307.49,14.41
11,2021-07-27 17:53:28.694017024,307.43,307.5,307.43,307.5,25.11
12,2021-07-27 17:53:32.737382144,307.43,307.51,307.43,307.5,31.72
13,2021-07-27 17:53:36.855356672,307.43,307.51,307.43,307.46,39.4
14,2021-07-27 17:53:40.914824192,307.43,307.51,307.42,307.44,45.43
15,2021-07-27 17:53:44.994139904,307.43,307.51,307.42,307.44,47.41
16,2021-07-27 17:53:49.076872704,307.43,307.51,307.42,307.46,50.37
17,2021-07-27 17:53:53.195434752,307.43,307.51,307.42,307.5,123.75
18,2021-07-27 17:53:57.312076032,307.43,307.51,307.42,307.5,124.58
19,2021-07-27 17:54:01.427145984,307.43,307.51,307.42,307.5,128.82
20,2021-07-27 17:54:05.515172864,307.43,307.52,307.42,307.52,168.86
21,2021-07-27 17:54:12.665252608,307.43,307.52,307.42,307.52,184.08
22,2021-07-27 17:54:16.763663616,307.43,307.52,307.42,307.52,188.33
23,2021-07-27 17:54:20.859112704,307.43,307.52,307.42,307.5,194.29
24,2021-07-27 17:54:24.938738944,307.43,307.52,307.42,307.48,246.96
25,2021-07-27 17:54:29.037257984,307.43,307.52,307.34,307.34,293.52
26,2021-07-27 17:54:33.154354944,307.43,307.52,307.3,307.33,327.72
27,2021-07-27 17:54:37.251495168,307.43,307.52,307.3,307.36,332.35
28,2021-07-27 17:54:41.353341440,307.43,307.52,307.3,307.39,349.52
29,2021-07-27 17:54:45.429549312,307.43,307.52,307.3,307.4,351.81
30,2021-07-27 17:54:49.494520576,307.43,307.52,307.3,307.38,354.01
31,2021-07-27 17:54:53.573890560,307.43,307.52,307.3,307.5,792.4
32,2021-07-27 17:54:56.661701120,307.43,307.52,307.3,307.47,842.76
33,2021-07-27 17:55:00.758438144,307.43,307.52,307.3,307.48,845.31
34,2021-07-27 17:55:04.837563648,307.43,307.52,307.3,307.49,847.06
35,2021-07-27 17:55:08.918518272,307.49,307.49,307.48,307.49,1.6
36,2021-07-27 17:55:12.962142976,307.49,307.49,307.48,307.49,4.45
37,2021-07-27 17:55:17.042024192,307.49,307.49,307.47,307.48,6.84
38,2021-07-27 17:55:21.154803712,307.49,307.55,307.47,307.54,26.15
39,2021-07-27 17:55:25.259896832,307.49,307.55,307.47,307.55,31.95
40,2021-07-27 17:55:29.322059520,307.49,307.55,307.47,307.55,64.38
41,2021-07-27 17:55:33.384497920,307.49,307.62,307.47,307.62,227.78
42,2021-07-27 17:55:37.472058368,307.49,307.68,307.47,307.68,239.59
43,2021-07-27 17:55:41.544294656,307.49,307.68,307.47,307.68,242.17
44,2021-07-27 17:55:48.707432448,307.49,307.68,307.47,307.68,251.73
45,2021-07-27 17:55:52.798719488,307.49,307.68,307.47,307.68,262.65
46,2021-07-27 17:55:56.914937856,307.49,307.7,307.47,307.7,294.58
47,2021-07-27 17:56:00.978678528,307.49,307.7,307.47,307.67,411.34
48,2021-07-27 17:56:05.035176192,307.49,307.72,307.47,307.72,504.05
49,2021-07-27 17:56:09.113254656,307.49,307.74,307.47,307.74,550.61
50,2021-07-27 17:56:13.227814656,307.49,307.74,307.47,307.73,576.36
51,2021-07-27 17:56:17.322034432,307.49,307.74,307.47,307.73,606.45
52,2021-07-27 17:56:21.438765568,307.49,307.74,307.47,307.72,614.1
53,2021-07-27 17:56:25.551911936,307.49,307.74,307.47,307.66,626.57
54,2021-07-27 17:56:28.635408640,307.49,307.74,307.47,307.65,626.97
55,2021-07-27 17:56:32.745446656,307.49,307.74,307.47,307.65,630.76
56,2021-07-27 17:56:36.860438016,307.49,307.74,307.47,307.7,636.55
57,2021-07-27 17:56:40.977241088,307.49,307.74,307.47,307.7,639.08
58,2021-07-27 17:56:45.087772928,307.49,307.74,307.47,307.68,651.23
59,2021-07-27 17:56:49.183629312,307.49,307.74,307.47,307.69,651.7
60,2021-07-27 17:56:53.298746112,307.49,307.74,307.47,307.69,652.03
61,2021-07-27 17:56:57.396633088,307.49,307.74,307.47,307.7,666.44
62,2021-07-27 17:57:01.504311296,307.71,307.74,307.71,307.74,51.54
63,2021-07-27 17:57:08.702826496,307.71,307.74,307.71,307.73,64.09
64,2021-07-27 17:57:12.774190848,307.71,307.74,307.7,307.7,79.56
65,2021-07-27 17:57:16.855106560,307.71,307.74,307.69,307.69,82.91
66,2021-07-27 17:57:20.915389952,307.71,307.74,307.68,307.68,85.99
67,2021-07-27 17:57:25.013210624,307.71,307.74,307.68,307.68,90.97
68,2021-07-27 17:57:29.108335616,307.71,307.74,307.68,307.68,95.56
69,2021-07-27 17:57:33.210050048,307.71,307.74,307.66,307.66,103.01
70,2021-07-27 17:57:37.307872512,307.71,307.74,307.48,307.48,184.32
71,2021-07-27 17:57:41.408753152,307.71,307.74,307.41,307.41,186.06
72,2021-07-27 17:57:45.518298880,307.71,307.74,307.39,307.39,192.22
73,2021-07-27 17:57:52.661413120,307.71,307.74,307.38,307.39,205.87
74,2021-07-27 17:57:56.738776576,307.71,307.74,307.25,307.25,351.77
75,2021-07-27 17:58:00.852186880,307.71,307.74,307.25,307.25,368.58
76,2021-07-27 17:58:04.928690176,307.71,307.74,307.2,307.2,590.65
77,2021-07-27 17:58:09.005380352,307.71,307.74,307.2,307.2,608.71
78,2021-07-27 17:58:13.100258816,307.71,307.74,307.2,307.26,689.29
79,2021-07-27 17:58:17.210481152,307.71,307.74,307.2,307.26,691.43
80,2021-07-27 17:58:21.306632448,307.71,307.74,307.2,307.29,722.42
81,2021-07-27 17:58:25.395369472,307.71,307.74,307.2,307.29,724.84
82,2021-07-27 17:58:29.492112896,307.71,307.74,307.2,307.3,730.56
83,2021-07-27 17:58:33.597572608,307.71,307.74,307.2,307.37,749.47
84,2021-07-27 17:58:36.645153792,307.71,307.74,307.2,307.35,750.5
85,2021-07-27 17:58:40.721627392,307.71,307.74,307.2,307.35,755.48
86,2021-07-27 17:58:44.788664576,307.71,307.74,307.2,307.35,757.8
87,2021-07-27 17:58:48.895443200,307.71,307.74,307.2,307.27,844.53
88,2021-07-27 17:58:52.999427840,307.71,307.74,307.2,307.21,851.29
89,2021-07-27 17:58:57.090273280,307.71,307.74,307.2,307.21,856.48
90,2021-07-27 17:59:01.164475648,307.22,307.22,307.21,307.21,1.71
91,2021-07-27 17:59:05.254729728,307.22,307.27,307.21,307.27,16.19
92,2021-07-27 17:59:09.340487168,307.22,307.28,307.21,307.23,25.41
93,2021-07-27 17:59:13.428752384,307.22,307.28,307.21,307.22,26.44
94,2021-07-27 17:59:17.542289408,307.22,307.28,307.14,307.14,187.92
95,2021-07-27 17:59:20.609595392,307.22,307.28,307.12,307.12,194.94
96,2021-07-27 17:59:24.724647680,307.22,307.28,307.11,307.11,200.09
97,2021-07-27 17:59:28.842013696,307.22,307.28,307.11,307.11,211.43
98,2021-07-27 17:59:32.935061760,307.22,307.28,307.11,307.13,243.44
99,2021-07-27 17:59:37.026136576,307.22,307.28,307.11,307.24,286.36
100,2021-07-27 17:59:41.125365504,307.22,307.36,307.11,307.36,325.59
101,2021-07-27 17:59:45.203840512,307.22,307.36,307.11,307.36,327.78
102,2021-07-27 17:59:49.282005248,307.22,307.37,307.11,307.36,334.0
103,2021-07-27 17:59:53.372063744,307.22,307.37,307.11,307.36,336.34
104,2021-07-27 17:59:57.469911808,307.22,307.37,307.11,307.36,343.95
105,2021-07-27 18:00:01.569861888,307.22,307.37,307.11,307.32,346.38
106,2021-07-27 18:00:04.652006144,307.22,307.37,307.11,307.32,394.07
107,2021-07-27 18:00:08.743251456,307.22,307.37,307.11,307.32,396.13
108,2021-07-27 18:00:12.821957376,307.22,307.37,307.11,307.29,398.35
109,2021-07-27 18:00:16.861454080,307.22,307.37,307.11,307.29,400.99
110,2021-07-27 18:00:20.915415040,307.22,307.37,307.11,307.35,427.38
111,2021-07-27 18:00:25.018635008,307.22,307.41,307.11,307.4,439.03
112,2021-07-27 18:00:29.091992576,307.22,307.41,307.11,307.4,441.41
113,2021-07-27 18:00:33.127474176,307.22,307.41,307.11,307.4,444.26
114,2021-07-27 18:00:37.165267456,307.22,307.41,307.11,307.4,477.14
115,2021-07-27 18:00:41.221951488,307.22,307.41,307.11,307.4,480.06
116,2021-07-27 18:00:45.295224832,307.22,307.41,307.11,307.4,485.62
117,2021-07-27 18:00:49.349298176,307.22,307.41,307.11,307.33,500.48
118,2021-07-27 18:00:53.459389440,307.33,307.33,307.32,307.32,5.72
119,2021-07-27 18:00:57.552046336,307.33,307.33,307.32,307.32,14.89
120,2021-07-27 18:01:00.615322880,307.33,307.33,307.32,307.32,17.23
121,2021-07-27 18:01:04.713174528,307.33,307.33,307.32,307.32,19.9
122,2021-07-27 18:01:08.772075520,307.33,307.39,307.32,307.39,83.19
123,2021-07-27 18:01:12.848616192,307.33,307.41,307.32,307.41,87.06
124,2021-07-27 18:01:16.938677760,307.33,307.44,307.32,307.44,91.15
125,2021-07-27 18:01:21.033970432,307.33,307.49,307.32,307.49,96.8
126,2021-07-27 18:01:25.145420544,307.33,307.49,307.32,307.48,100.74
127,2021-07-27 18:01:29.253456384,307.33,307.49,307.32,307.48,102.22
128,2021-07-27 18:01:33.347166720,307.33,307.49,307.32,307.48,109.96
129,2021-07-27 18:01:37.442072064,307.33,307.49,307.32,307.49,115.28
130,2021-07-27 18:01:41.536836096,307.33,307.49,307.32,307.48,116.83
131,2021-07-27 18:01:44.619981056,307.33,307.49,307.32,307.36,254.96
132,2021-07-27 18:01:48.730076928,307.33,307.49,307.32,307.34,256.5
133,2021-07-27 18:01:52.825411328,307.33,307.49,307.32,307.33,259.98
134,2021-07-27 18:01:56.922098688,307.33,307.49,307.32,307.33,262.84
135,2021-07-27 18:02:00.997139200,307.33,307.49,307.32,307.33,265.67
136,2021-07-27 18:02:05.108693760,307.33,307.49,307.32,307.32,268.27
137,2021-07-27 18:02:09.221206016,307.33,307.49,307.28,307.28,345.5
138,2021-07-27 18:02:13.316573440,307.33,307.49,307.22,307.23,405.68
139,2021-07-27 18:02:17.393229056,307.33,307.49,307.21,307.22,406.39
140,2021-07-27 18:02:21.508766720,307.33,307.49,307.2,307.2,416.37
141,2021-07-27 18:02:25.601663488,307.33,307.49,307.11,307.14,647.02
142,2021-07-27 18:02:28.670017280,307.33,307.49,307.11,307.14,647.96
143,2021-07-27 18:02:32.766741248,307.33,307.49,307.11,307.11,649.86
144,2021-07-27 18:02:36.846772224,307.33,307.49,307.11,307.13,660.79
145,2021-07-27 18:02:40.951867648,307.13,307.35,307.13,307.32,212.46
146,2021-07-27 18:02:45.051582720,307.13,307.35,307.13,307.35,224.83
147,2021-07-27 18:02:49.165410048,307.13,307.35,307.13,307.35,237.37
148,2021-07-27 18:02:53.247876352,307.13,307.35,307.13,307.35,241.03
149,2021-07-27 18:02:57.308452352,307.13,307.42,307.13,307.42,264.34
150,2021-07-27 18:03:01.421532160,307.13,307.47,307.13,307.47,273.64
151,2021-07-27 18:03:05.480904704,307.13,307.54,307.13,307.53,301.74
152,2021-07-27 18:03:09.572044032,307.13,307.54,307.13,307.48,340.44
153,2021-07-27 18:03:12.658634496,307.13,307.54,307.13,307.48,341.53
154,2021-07-27 18:03:16.737686016,307.13,307.57,307.13,307.55,462.26
155,2021-07-27 18:03:20.857242368,307.13,307.57,307.13,307.54,481.0
156,2021-07-27 18:03:24.972091136,307.13,307.57,307.13,307.55,482.8
157,2021-07-27 18:03:29.050876416,307.13,307.57,307.13,307.56,492.14
158,2021-07-27 18:03:33.131642880,307.13,307.57,307.13,307.56,495.75
159,2021-07-27 18:03:37.195541760,307.13,307.57,307.13,307.49,556.09
160,2021-07-27 18:03:41.290781440,307.13,307.57,307.13,307.54,604.34
161,2021-07-27 18:03:45.367525376,307.13,307.57,307.13,307.54,605.5
162,2021-07-27 18:03:49.448591360,307.13,307.57,307.13,307.39,669.35
163,2021-07-27 18:03:53.505377536,307.13,307.57,307.13,307.35,669.92
164,2021-07-27 18:04:00.705376512,307.13,307.57,307.13,307.31,706.54
165,2021-07-27 18:04:04.797909760,307.13,307.57,307.13,307.27,775.72
166,2021-07-27 18:04:08.901730816,307.13,307.57,307.13,307.24,776.44
167,2021-07-27 18:04:12.998713856,307.13,307.57,307.13,307.29,779.2
168,2021-07-27 18:04:17.113923328,307.13,307.57,307.13,307.29,780.09
169,2021-07-27 18:04:21.210568960,307.13,307.57,307.13,307.29,781.21
170,2021-07-27 18:04:25.325413376,307.13,307.57,307.13,307.29,782.17
171,2021-07-27 18:04:29.421747200,307.13,307.57,307.13,307.25,786.57
172,2021-07-27 18:04:33.480890112,307.25,307.26,307.25,307.26,2.24
173,2021-07-27 18:04:37.548727040,307.25,307.43,307.25,307.43,38.09
174,2021-07-27 18:04:40.633613312,307.25,307.43,307.25,307.43,49.73
175,2021-07-27 18:04:44.747378432,307.25,307.43,307.25,307.43,52.78
176,2021-07-27 18:04:48.838743552,307.25,307.43,307.25,307.43,57.76
177,2021-07-27 18:04:52.934446336,307.25,307.51,307.25,307.48,73.98
178,2021-07-27 18:04:57.048708864,307.25,307.51,307.25,307.45,82.02
179,2021-07-27 18:05:01.160041728,307.25,307.51,307.25,307.32,289.08
180,2021-07-27 18:05:05.253816576,307.25,307.51,307.25,307.31,291.91
181,2021-07-27 18:05:09.369968896,307.25,307.51,307.25,307.44,308.51
182,2021-07-27 18:05:13.470628096,307.25,307.51,307.25,307.38,332.11
183,2021-07-27 18:05:17.558233088,307.25,307.51,307.25,307.37,333.81
184,2021-07-27 18:05:20.621020160,307.25,307.51,307.25,307.39,350.32
185,2021-07-27 18:05:24.734520576,307.25,307.51,307.25,307.4,376.9
186,2021-07-27 18:05:28.848739840,307.25,307.51,307.25,307.39,377.71
187,2021-07-27 18:05:32.945388288,307.25,307.51,307.25,307.39,378.05
188,2021-07-27 18:05:37.045283840,307.25,307.51,307.25,307.38,382.65
189,2021-07-27 18:05:41.142079488,307.25,307.53,307.25,307.53,432.68
190,2021-07-27 18:05:45.180060416,307.25,307.53,307.25,307.53,435.25
191,2021-07-27 18:05:49.236930048,307.25,307.53,307.25,307.53,435.96
192,2021-07-27 18:05:53.292040448,307.25,307.54,307.25,307.53,448.04
193,2021-07-27 18:05:57.370649856,307.25,307.54,307.25,307.53,448.9
194,2021-07-27 18:06:01.450384128,307.25,307.54,307.25,307.53,455.4
195,2021-07-27 18:06:05.488726784,307.25,307.54,307.25,307.53,456.57
196,2021-07-27 18:06:09.565323008,307.25,307.57,307.25,307.57,519.53
