,type,entry_time,entry_price,exit_time,exit_price,percentual_difference,cumulative_profit
0,tp,2021-07-27 10:50:22.954869248,37545.5,2021-07-27 10:50:32.050449664,37565.16,5.236313273229412,5.236313273229412
1,sl,2021-07-27 10:50:33.075316736,37565.15,2021-07-27 10:50:41.192416256,37563.03,-0.5643528642911366,4.671960408938276
2,sl,2021-07-27 10:50:42.247059712,37563.03,2021-07-27 10:50:50.328962560,37560.01,-0.8039820003862305,3.867978408552045
3,sl,2021-07-27 10:50:51.353736704,37555.73,2021-07-27 10:50:58.409735424,37547.66,-2.1488065869042376,1.7191718216478074
4,tp,2021-07-27 10:50:59.450469376,37544.48,2021-07-27 10:51:10.701948416,37570.0,6.797270863785247,8.516442685433054
5,sl,2021-07-27 10:51:11.780357632,37568.09,2021-07-27 10:51:17.801544448,37564.01,-1.086028062644247,7.430414622788807
6,sl,2021-07-27 10:51:18.830492672,37560.0,2021-07-27 10:51:49.190192640,37557.33,-0.7108626198078418,6.719552002980965
7,sl,2021-07-27 10:51:50.297008640,37557.82,2021-07-27 10:52:59.733660416,37555.48,-0.6230393563834395,6.0965126465975255
8,sl,2021-07-27 10:53:00.761598464,37555.57,2021-07-27 10:53:32.459635968,37551.0,-1.2168634373009675,4.8796492092965575
9,sl,2021-07-27 10:53:33.496364544,37547.29,2021-07-27 10:53:39.518135552,37545.3,-0.5299983034722247,4.349650905824333
10,sl,2021-07-27 10:53:40.592550400,37545.29,2021-07-27 10:53:46.661884928,37542.67,-0.6978238815048757,3.6518270243194575
11,sl,2021-07-27 10:53:47.680352256,37547.26,2021-07-27 10:53:58.851801856,37544.09,-0.8442693288419792,2.8075576954774784
12,tp,2021-07-27 10:54:00.997111296,37544.58,2021-07-27 10:55:38.586738176,37564.99,5.4362041072229905,8.243761802700469
13,sl,2021-07-27 10:55:53.003757824,37562.93,2021-07-27 10:55:59.041010176,37561.0,-0.5138044343186996,7.729957368381769
14,tp,2021-07-27 10:56:00.059826176,37559.05,2021-07-27 10:56:46.195730176,37582.54,6.254151795638591,13.98410916402036
15,tp,2021-07-27 10:56:55.459659008,37573.14,2021-07-27 10:57:39.646773504,37593.43,5.400134244835772,19.384243408856133
16,sl,2021-07-27 10:57:50.955243520,37585.01,2021-07-27 10:57:58.022505472,37581.01,-1.0642540736320145,18.31998933522412
17,tp,2021-07-27 10:57:59.056080384,37581.93,2021-07-27 10:58:39.128669952,37608.11,6.966113767973144,25.286103103197263
18,tp,2021-07-27 10:58:48.532457984,37593.4,2021-07-27 10:59:13.026238976,37612.88,5.181760628194291,30.467863731391553
19,sl,2021-07-27 10:59:19.223470336,37613.42,2021-07-27 10:59:38.573661696,37605.7,-2.052458936199145,28.41540479519241
20,sl,2021-07-27 10:59:39.597267712,37610.4,2021-07-27 10:59:52.842611200,37607.72,-0.7125688639313305,27.702835931261077
21,sl,2021-07-27 10:59:53.863218688,37608.62,2021-07-27 10:59:59.894848000,37606.37,-0.5982670994043386,27.10456883185674
22,sl,2021-07-27 11:00:00.940336896,37606.34,2021-07-27 11:00:06.961693440,37597.18,-2.435759502253135,24.668809329603604
23,tp,2021-07-27 11:00:07.983513856,37592.59,2021-07-27 11:01:55.759885824,37613.31,5.5117245180502765,30.18053384765388
24,sl,2021-07-27 11:02:15.398321408,37639.71,2021-07-27 11:02:38.061461760,37632.01,-2.045711829341164,28.134822018312715
25,sl,2021-07-27 11:02:39.082023936,37633.9,2021-07-27 11:02:46.128648704,37632.01,-0.5022067869658521,27.63261523134686
26,tp,2021-07-27 11:02:47.153439232,37632.37,2021-07-27 11:04:09.708163840,37657.0,6.5448973848836465,34.17751261623051
27,sl,2021-07-27 11:04:23.130302976,37656.73,2021-07-27 11:04:29.161606912,37651.77,-1.317161633526438,32.86035098270407
28,sl,2021-07-27 11:04:30.204464896,37651.01,2021-07-27 11:04:36.238141952,37647.0,-1.0650444702551238,31.795306512448946
29,sl,2021-07-27 11:04:37.262757120,37648.58,2021-07-27 11:04:45.459384576,37646.67,-0.5073232509708181,31.28798326147813
30,sl,2021-07-27 11:04:46.524890368,37641.4,2021-07-27 11:04:59.743640576,37638.0,-0.9032607713850853,30.384722490093043
31,sl,2021-07-27 11:05:00.782733056,37642.67,2021-07-27 11:05:06.818126080,37638.86,-1.012149244460521,29.372573245632523
32,sl,2021-07-27 11:05:07.848958720,37640.59,2021-07-27 11:05:13.871377408,37636.26,-1.150353913154515,28.22221933247801
33,sl,2021-07-27 11:05:14.911944704,37638.77,2021-07-27 11:05:24.016591872,37636.01,-0.7332864490510083,27.488932883427
34,sl,2021-07-27 11:05:27.089474048,37636.0,2021-07-27 11:05:40.381672192,37626.03,-2.64905941120235,24.839873472224653
35,sl,2021-07-27 11:05:42.443442176,37626.02,2021-07-27 11:06:00.835214848,37623.56,-0.6538028736494392,24.186070598575213
36,tp,2021-07-27 11:06:49.240233472,37641.0,2021-07-27 11:07:21.276757248,37660.0,5.047687362184853,29.233757960760066
37,sl,2021-07-27 11:07:34.663665152,37659.99,2021-07-27 11:08:03.661911808,37650.0,-2.65268259497625,26.581075365783818
38,sl,2021-07-27 11:08:04.683243520,37650.0,2021-07-27 11:08:13.813618176,37644.0,-1.593625498007968,24.98744986777585
39,sl,2021-07-27 11:08:14.853660928,37642.66,2021-07-27 11:08:30.095395840,37640.01,-0.7039885066574613,24.28346136111839
40,tp,2021-07-27 11:08:31.121157632,37644.75,2021-07-27 11:09:50.403339520,37666.0,5.6448774397492345,29.928338800867625
41,sl,2021-07-27 11:10:06.226007040,37666.0,2021-07-27 11:10:26.011572736,37662.58,-0.9079806722238235,29.0203581286438
42,sl,2021-07-27 11:10:27.030411264,37656.01,2021-07-27 11:10:58.851786240,37644.39,-3.0858287959883746,25.934529332655426
43,sl,2021-07-27 11:10:59.900016384,37643.3,2021-07-27 11:11:06.963161600,37640.98,-0.6163115348547308,25.318217797800695
44,sl,2021-07-27 11:11:07.997149184,37638.3,2021-07-27 11:11:20.150242816,37633.7,-1.2221593430111937,24.096058454789503
45,sl,2021-07-27 11:11:21.226291200,37635.19,2021-07-27 11:11:27.248150528,37632.35,-0.7546129035096629,23.34144555127984
46,sl,2021-07-27 11:11:28.265380352,37632.34,2021-07-27 11:11:40.616068864,37618.0,-3.8105523068712994,19.53089324440854
47,sl,2021-07-27 11:11:42.709867264,37616.39,2021-07-27 11:11:49.771478272,37614.45,-0.5157326367581601,19.01516060765038
48,sl,2021-07-27 11:11:50.792441088,37613.91,2021-07-27 11:12:00.948402432,37610.41,-0.9305068257992852,18.084653781851095
49,sl,2021-07-27 11:12:05.056922112,37613.0,2021-07-27 11:12:12.105353984,37607.65,-1.4223805599124093,16.662273221938687
50,sl,2021-07-27 11:12:14.171845632,37605.73,2021-07-27 11:13:19.018093568,37603.31,-0.6435189530971821,16.018754268841505
51,sl,2021-07-27 11:13:20.042784000,37603.78,2021-07-27 11:13:27.103577344,37600.01,-1.0025587853127527,15.016195483528753
52,sl,2021-07-27 11:13:28.141593856,37599.9,2021-07-27 11:14:02.060225792,37597.04,-0.7606403208520719,14.25555516267668
53,tp,2021-07-27 11:14:06.179991552,37596.22,2021-07-27 11:15:06.786368256,37617.13,5.5617293440660305,19.81728450674271
54,sl,2021-07-27 11:15:19.198892032,37614.49,2021-07-27 11:15:28.338651648,37610.9,-0.9544194271932195,18.86286507954949
55,sl,2021-07-27 11:15:29.383591680,37612.98,2021-07-27 11:16:17.533557504,37610.01,-0.7896210297618439,18.073244049787647
56,sl,2021-07-27 11:16:18.557184512,37608.3,2021-07-27 11:16:24.591377408,37606.06,-0.5956132024061813,17.477630847381466
57,sl,2021-07-27 11:16:25.619480320,37606.57,2021-07-27 11:16:33.699918336,37604.68,-0.5025717580729692,16.9750590893085
58,sl,2021-07-27 11:16:34.722314752,37604.92,2021-07-27 11:16:40.747985408,37600.0,-1.3083394406897433,15.666719648618756
59,sl,2021-07-27 11:16:41.795451392,37600.01,2021-07-27 11:16:48.855375104,37586.65,-3.5531905443643717,12.113529104254384
