,type,entry_time,entry_price,exit_time,exit_price,percentual_difference,cumulative_profit
0,sl,2021-07-27 13:47:25.999578368,48.98,2021-07-27 13:47:36.230576640,48.95,-6.124948958757459,-6.124948958757459
1,sl,2021-07-27 13:47:37.297686016,48.95,2021-07-27 13:47:43.340527104,48.94,-2.0429009193064585,-8.167849878063917
2,sl,2021-07-27 13:47:44.379446528,48.95,2021-07-27 13:47:51.418141440,48.94,-2.0429009193064585,-10.210750797370375
3,sl,2021-07-27 13:47:52.447855872,48.9,2021-07-27 13:47:58.493756416,48.88,-4.089979550101436,-14.300730347471811
4,sl,2021-07-27 13:47:59.593429760,48.87,2021-07-27 13:48:05.640513536,48.86,-2.046245140167385,-16.346975487639195
5,sl,2021-07-27 13:48:06.695099136,48.84,2021-07-27 13:48:12.713792000,48.83,-2.047502047503095,-18.39447753514229
6,sl,2021-07-27 13:48:13.746049536,48.82,2021-07-27 13:48:20.802637056,48.81,-2.04834084391602,-20.44281837905831
7,tp,2021-07-27 13:48:21.827988736,48.81,2021-07-27 13:48:28.901965312,48.84,6.146281499692918,-14.29653687936539
8,sl,2021-07-27 13:48:29.922790912,48.8,2021-07-27 13:48:37.993916672,48.78,-4.098360655736889,-18.39489753510228
9,sl,2021-07-27 13:48:39.014634496,48.76,2021-07-27 13:48:47.085170176,48.75,-2.0508613617715366,-20.44575889687382
10,tp,2021-07-27 13:48:48.105935616,48.74,2021-07-27 13:48:55.159339264,48.78,8.206811653672373,-12.238947243201446
11,tp,2021-07-27 13:49:22.038926848,48.88,2021-07-27 13:49:32.309799936,48.91,6.137479541733639,-6.101467701467807
12,sl,2021-07-27 13:49:33.366027520,48.9,2021-07-27 13:49:43.572051712,48.87,-6.134969325153607,-12.236437026621413
13,tp,2021-07-27 13:49:44.596358656,48.89,2021-07-27 13:49:51.705644288,48.93,8.181632235630834,-4.054804790990579
14,sl,2021-07-27 13:49:52.730570496,48.92,2021-07-27 13:50:05.978974720,48.91,-2.044153720360817,-6.0989585113513956
15,tp,2021-07-27 13:50:08.040732416,48.91,2021-07-27 13:50:18.267751936,48.94,6.133714986710517,0.03475647535912163
16,sl,2021-07-27 13:50:57.542281728,49.23,2021-07-27 13:51:03.577211392,49.22,-2.031281738776764,-1.9965252634176425
17,sl,2021-07-27 13:51:04.627659264,49.21,2021-07-27 13:51:10.663749632,49.18,-6.0963218857958,-8.092847149213442
18,sl,2021-07-27 13:51:11.688939008,49.14,2021-07-27 13:51:17.723755520,49.13,-2.0350020350016305,-10.127849184215073
19,tp,2021-07-27 13:51:18.782461952,49.14,2021-07-27 13:51:26.874838528,49.17,6.105006105006336,-4.022843079208737
20,sl,2021-07-27 13:51:27.928763136,49.16,2021-07-27 13:51:33.967302400,49.15,-2.0341741253047214,-6.057017204513459
21,tp,2021-07-27 13:51:35.007146496,49.17,2021-07-27 13:51:41.050432256,49.21,8.135041692088498,2.078024487575039
22,tp,2021-07-27 13:51:42.147210752,49.22,2021-07-27 13:51:49.215464448,49.25,6.095083299471991,8.17310778704703
23,sl,2021-07-27 13:52:13.955265280,49.38,2021-07-27 13:52:20.043963392,49.35,-6.075334143378116,2.097773643668914
24,sl,2021-07-27 13:52:21.075939584,49.35,2021-07-27 13:52:27.096934400,49.34,-2.0263424518739637,0.07143119179495017
25,sl,2021-07-27 13:52:28.119245312,49.35,2021-07-27 13:52:34.142746368,49.32,-6.079027355623331,-6.007596163828381
26,sl,2021-07-27 13:52:35.160458240,49.31,2021-07-27 13:52:41.200450048,49.3,-2.0279862096948116,-8.035582373523193
27,tp,2021-07-27 13:52:42.231298304,49.31,2021-07-27 13:52:48.260596992,49.37,12.167917258161664,4.132334884638471
28,sl,2021-07-27 13:52:49.317971200,49.36,2021-07-27 13:52:58.536150784,49.35,-2.025931928686793,2.106402955951678
29,sl,2021-07-27 13:52:59.641738496,49.35,2021-07-27 13:53:05.710580736,49.33,-4.052684903749367,-1.9462819477976891
30,tp,2021-07-27 13:53:06.812665856,49.33,2021-07-27 13:53:15.007677696,49.36,6.081491992702441,4.135210044904752
31,tp,2021-07-27 13:53:16.070470400,49.36,2021-07-27 13:53:23.149429504,49.39,6.077795786061819,10.213005830966571
32,sl,2021-07-27 13:53:59.295589120,49.47,2021-07-27 13:54:06.360468224,49.46,-2.0214271275516498,8.19157870341492
33,sl,2021-07-27 13:54:07.415923712,49.48,2021-07-27 13:54:14.533842432,49.44,-8.084074373484064,0.10750432993085646
34,sl,2021-07-27 13:54:15.552563200,49.4,2021-07-27 13:54:21.583770112,49.38,-4.048582995950612,-3.941078666019756
35,sl,2021-07-27 13:54:22.615990528,49.43,2021-07-27 13:54:28.647308032,49.41,-4.046125834514086,-7.987204500533842
36,sl,2021-07-27 13:54:29.676106752,49.42,2021-07-27 13:54:36.729329408,49.36,-12.140833670579172,-20.128038171113012
37,tp,2021-07-27 13:54:37.756515328,49.35,2021-07-27 13:54:48.951113472,49.4,10.131712259371257,-9.996325911741755
38,sl,2021-07-27 13:55:02.121722112,49.35,2021-07-27 13:55:08.194031872,49.32,-6.079027355623331,-16.075353267365085
39,tp,2021-07-27 13:55:09.214909184,49.34,2021-07-27 13:55:16.279192320,49.4,12.160518848803237,-3.9148344185618473
