,type,entry_time,entry_price,exit_time,exit_price,percentual_difference,cumulative_profit
0,sl,2021-07-27 13:46:36.785853696,317.49,2021-07-27 13:46:42.840449024,317.44,-1.5748527512681145,-1.5748527512681145
1,sl,2021-07-27 13:46:43.879408384,317.44,2021-07-27 13:46:53.091506176,317.42,-0.6300403225800721,-2.2048930738481864
2,sl,2021-07-27 13:46:54.114543616,317.42,2021-07-27 13:47:07.412148224,317.31,-3.465440110894513,-5.6703331847427
3,sl,2021-07-27 13:47:08.450715904,317.28,2021-07-27 13:47:16.548369408,317.19,-2.8366111951580617,-8.506944379900762
4,sl,2021-07-27 13:47:17.569459968,317.3,2021-07-27 13:47:24.646822144,317.17,-4.097069019854883,-12.604013399755646
5,sl,2021-07-27 13:47:25.705473792,317.17,2021-07-27 13:47:32.789417216,317.12,-1.5764416558946737,-14.18045505565032
6,tp,2021-07-27 13:47:33.828141056,317.12,2021-07-27 13:47:41.939123456,317.32,6.3067608476283,-7.8736942080220205
7,sl,2021-07-27 13:47:42.985992960,317.31,2021-07-27 13:47:50.086039040,317.29,-0.6302984463137565,-8.503992654335777
8,sl,2021-07-27 13:48:11.172339968,317.32,2021-07-27 13:49:03.505471232,317.27,-1.5756964578347212,-10.079689112170499
9,sl,2021-07-27 13:49:04.541606400,317.22,2021-07-27 13:49:28.076809984,317.19,-0.9457159069424865,-11.025405019112986
10,sl,2021-07-27 13:49:48.864225792,317.33,2021-07-27 13:49:58.001178112,317.29,-1.260517442408963,-12.285922461521949
11,tp,2021-07-27 13:49:59.035923456,317.28,2021-07-27 13:50:26.819113728,317.47,5.988401412003737,-6.2975210495182115
12,sl,2021-07-27 13:50:39.194513920,317.47,2021-07-27 13:50:45.214232832,317.4,-2.204932749552714,-8.502453799070926
13,sl,2021-07-27 13:50:46.233962496,317.41,2021-07-27 13:51:04.697168384,317.39,-0.6300998708307443,-9.13255366990167
14,sl,2021-07-27 13:51:05.717557504,317.37,2021-07-27 13:51:22.132361984,317.33,-1.2603585720143826,-10.392912241916052
15,sl,2021-07-27 13:51:23.167578112,317.31,2021-07-27 13:51:30.227740672,317.29,-0.6302984463137565,-11.02321068822981
16,sl,2021-07-27 13:51:31.262638080,317.3,2021-07-27 13:51:40.399462912,317.24,-1.8909549322408532,-12.914165620470662
17,sl,2021-07-27 13:51:41.422823168,317.25,2021-07-27 13:51:55.814051840,317.19,-1.891252955082814,-14.805418575553476
18,tp,2021-07-27 13:52:18.029261824,317.01,2021-07-27 13:53:10.681302784,317.17,5.047159395603452,-9.758259179950024
19,sl,2021-07-27 13:53:22.165911040,317.13,2021-07-27 13:53:29.225696768,317.07,-1.8919685933214228,-11.650227773271446
20,sl,2021-07-27 13:53:30.274306048,317.07,2021-07-27 13:53:48.113692928,317.05,-0.6307755385240423,-12.281003311795489
21,sl,2021-07-27 13:53:49.235923712,317.06,2021-07-27 13:53:59.395976192,317.01,-1.5769885826030208,-13.85799189439851
22,sl,2021-07-27 13:54:00.415587328,317.0,2021-07-27 13:54:24.589239808,316.98,-0.6309148264978489,-14.488906720896358
23,sl,2021-07-27 13:54:40.688324608,317.0,2021-07-27 13:54:56.373540864,316.97,-0.9463722397467733,-15.435278960643132
24,sl,2021-07-27 13:54:57.667405568,316.97,2021-07-27 13:55:03.837116160,316.94,-0.9464618102668884,-16.38174077091002
25,sl,2021-07-27 13:55:04.892310784,316.95,2021-07-27 13:55:14.038895872,316.92,-0.9465215333640232,-17.328262304274045
26,sl,2021-07-27 13:55:15.079393024,316.93,2021-07-27 13:55:23.175906048,316.91,-0.6310541760004358,-17.95931648027448
27,sl,2021-07-27 13:55:24.202678528,316.92,2021-07-27 13:55:34.514738688,316.9,-0.6310740880991624,-18.590390568373643
