,type,entry_time,entry_price,exit_time,exit_price,percentual_difference,cumulative_profit
0,sl,2021-07-27 13:46:34.031883264,38591.64,2021-07-27 13:46:43.149650432,38588.08,-0.9224795836605213,-0.9224795836605213
1,sl,2021-07-27 13:46:44.181906688,38589.9,2021-07-27 13:46:52.348365824,38587.75,-0.5571405989653913,-1.4796201826259126
2,sl,2021-07-27 13:46:53.408553984,38586.66,2021-07-27 13:47:03.588545792,38583.26,-0.8811335316405864,-2.360753714266499
3,sl,2021-07-27 13:47:04.612543744,38583.26,2021-07-27 13:47:19.839296512,38568.17,-3.9110225522684665,-6.271776266534966
4,sl,2021-07-27 13:47:20.858130432,38569.04,2021-07-27 13:47:32.035051264,38560.03,-2.3360705892607223,-8.607846855795689
5,sl,2021-07-27 13:47:33.088286208,38571.87,2021-07-27 13:47:41.182530304,38553.15,-4.853277790265591,-13.461124646061279
6,tp,2021-07-27 13:47:42.212668416,38552.81,2021-07-27 13:47:59.679363840,38572.86,5.200658525280755,-8.260466120780524
7,sl,2021-07-27 13:48:33.851631360,38580.12,2021-07-27 13:48:45.072567552,38575.03,-1.3193323400766466,-9.579798460857171
8,sl,2021-07-27 13:48:46.092114688,38575.02,2021-07-27 13:48:54.214913024,38572.82,-0.5703172674951535,-10.150115728352326
9,sl,2021-07-27 13:48:55.244167424,38573.75,2021-07-27 13:49:02.301581824,38564.5,-2.398003823843935,-12.54811955219626
10,sl,2021-07-27 13:49:03.325029888,38563.66,2021-07-27 13:50:30.217488128,38556.0,-1.986325986694077,-14.534445538890337
11,tp,2021-07-27 13:50:32.318498816,38552.32,2021-07-27 13:51:06.220709632,38577.27,6.471724658852461,-8.062720880037876
12,sl,2021-07-27 13:51:35.199014400,38578.81,2021-07-27 13:51:50.754922496,38575.7,-0.8061420245986286,-8.868862904636504
13,tp,2021-07-27 13:51:51.792066816,38571.24,2021-07-27 13:52:43.411525120,38591.01,5.125580613950724,-3.74328229068578
14,sl,2021-07-27 13:52:52.884727808,38591.02,2021-07-27 13:53:05.151895296,38587.36,-0.9484071682987951,-4.691689458984575
15,sl,2021-07-27 13:53:06.305549312,38587.35,2021-07-27 13:53:39.370810880,38582.43,-1.2750292518139374,-5.966718710798513
16,sl,2021-07-27 13:53:40.392473856,38581.44,2021-07-27 13:54:09.535952384,38579.28,-0.5598546866066928,-6.526573397405206
17,sl,2021-07-27 13:54:34.260800512,38578.59,2021-07-27 13:55:12.912651008,38571.54,-1.8274384833649011,-8.354011880770107
