,type,entry_time,entry_price,exit_time,exit_price,percentual_difference,cumulative_profit
0,sl,2021-07-27 13:46:31.217206272,2311.26,2021-07-27 13:46:38.261751552,2310.99,-1.1681939721209926,-1.1681939721209926
1,sl,2021-07-27 13:46:39.312916224,2310.99,2021-07-27 13:46:47.442386176,2310.63,-1.5577739410368396,-2.7259679131578323
2,sl,2021-07-27 13:46:48.508864512,2310.48,2021-07-27 13:47:01.782522624,2310.24,-1.0387451958044929,-3.764713108962325
3,sl,2021-07-27 13:47:02.816189184,2309.98,2021-07-27 13:47:22.317270528,2309.78,-0.8658083619763726,-4.630521470938698
4,sl,2021-07-27 13:47:23.375319808,2309.5,2021-07-27 13:47:30.466003968,2309.06,-1.9051742801474543,-6.535695751086152
5,sl,2021-07-27 13:47:31.504938496,2309.2,2021-07-27 13:47:38.606815488,2309.06,-0.6062705698937844,-7.141966320979936
6,sl,2021-07-27 13:47:39.632518656,2308.89,2021-07-27 13:47:47.768267008,2308.66,-0.9961496649906153,-8.13811598597055
7,sl,2021-07-27 13:47:48.788281344,2308.49,2021-07-27 13:47:57.942689280,2307.62,-3.7686972869706645,-11.906813272941214
8,tp,2021-07-27 13:47:58.992821248,2307.96,2021-07-27 13:48:29.856071168,2309.2,5.372710098960908,-6.534103173980307
9,sl,2021-07-27 13:48:45.342440704,2309.12,2021-07-27 13:49:06.797218816,2308.68,-1.9054878048782853,-8.439590978858591
10,sl,2021-07-27 13:49:07.818934784,2309.29,2021-07-27 13:49:14.874597376,2308.97,-1.3857072953165852,-9.825298274175177
11,sl,2021-07-27 13:49:15.902299392,2308.97,2021-07-27 13:49:29.168751872,2308.76,-0.9094964421347252,-10.734794716309903
12,sl,2021-07-27 13:49:30.195761664,2308.89,2021-07-27 13:49:36.288035840,2308.75,-0.6063519699936882,-11.341146686303592
13,sl,2021-07-27 13:49:37.339281152,2308.7,2021-07-27 13:49:44.389055232,2308.58,-0.5197730324420274,-11.860919718745619
14,sl,2021-07-27 13:49:45.451354624,2308.88,2021-07-27 13:49:52.545228800,2308.55,-1.4292644052524481,-13.290184123998067
15,sl,2021-07-27 13:49:53.572661760,2308.56,2021-07-27 13:50:10.987715072,2308.41,-0.6497556918602547,-13.939939815858322
16,sl,2021-07-27 13:50:13.069374464,2308.64,2021-07-27 13:50:20.159374848,2308.44,-0.8663109016555987,-14.80625071751392
17,sl,2021-07-27 13:50:39.785972480,2308.01,2021-07-27 13:50:55.112599296,2307.8,-0.9098747405775379,-15.716125458091458
18,tp,2021-07-27 13:50:56.138140160,2307.82,2021-07-27 13:51:16.731661312,2309.14,5.719683510844472,-9.996441947246986
19,sl,2021-07-27 13:51:24.942703616,2308.35,2021-07-27 13:51:44.544207360,2307.57,-3.3790369744611755,-13.375478921708162
20,tp,2021-07-27 13:51:46.599271424,2307.48,2021-07-27 13:52:48.983930368,2308.73,5.417165045850885,-7.958313875857277
21,sl,2021-07-27 13:52:55.538650368,2308.51,2021-07-27 13:53:03.708974848,2308.3,-0.9096776708787762,-8.867991546736054
22,sl,2021-07-27 13:53:04.746163968,2308.31,2021-07-27 13:53:39.019635200,2307.99,-1.386295601544696,-10.25428714828075
23,sl,2021-07-27 13:53:40.100798208,2308.0,2021-07-27 13:54:43.841239040,2307.64,-1.5597920277301878,-11.814079176010937
24,sl,2021-07-27 13:54:45.887781632,2307.64,2021-07-27 13:55:30.181472000,2307.51,-0.5633461025101593,-12.377425278521097
